created_at,entry_id,field1,field2,field3,field4
2018-12-28 18:00:08 UTC,281,,,,1
2018-12-28 18:00:29 UTC,282,,,10.74189677904923,
2018-12-28 18:00:57 UTC,283,,48.605,,
2018-12-28 18:05:08 UTC,284,,,,1
2018-12-28 18:05:28 UTC,285,,,10.66000634770622,
2018-12-28 18:06:26 UTC,286,21.977,,,
2018-12-28 18:06:51 UTC,287,21.964,,,
2018-12-28 18:07:16 UTC,288,,48.609,,
2018-12-28 18:10:05 UTC,289,,,,1
2018-12-28 18:10:29 UTC,290,,,10.62184154633485,
2018-12-28 18:12:21 UTC,291,21.908,,,
2018-12-28 18:12:46 UTC,292,,48.472,,
2018-12-28 18:15:05 UTC,293,,,,1
2018-12-28 18:15:28 UTC,294,,,10.52806729847129,
2018-12-28 18:17:51 UTC,295,21.921,,,
2018-12-28 18:18:17 UTC,296,,48.379,,
2018-12-28 18:20:06 UTC,297,,,,1
2018-12-28 18:20:29 UTC,298,,,10.51109226765943,
2018-12-28 18:23:22 UTC,299,21.849,,,
2018-12-28 18:23:47 UTC,300,,48.344,,
2018-12-28 18:25:06 UTC,301,,,,1
2018-12-28 18:25:28 UTC,302,,,10.43427132243359,
2018-12-28 18:28:52 UTC,303,21.849,,,
2018-12-28 18:29:17 UTC,304,,48.338,,
2018-12-28 18:30:05 UTC,305,,,,1
2018-12-28 18:30:29 UTC,306,,,10.43240593006169,
2018-12-28 18:34:22 UTC,307,21.806,,,
2018-12-28 18:34:47 UTC,308,,48.403,,
2018-12-28 18:35:05 UTC,309,,,,1
2018-12-28 18:35:28 UTC,310,,,10.41321748108722,
2018-12-28 18:39:52 UTC,311,21.780,,,
2018-12-28 18:40:17 UTC,312,,48.434,,
2018-12-28 18:45:06 UTC,313,,,,1
2018-12-28 18:45:23 UTC,314,21.724,,,
2018-12-28 18:45:47 UTC,315,,48.408,,
2018-12-28 18:50:05 UTC,316,,,,1
2018-12-28 18:50:29 UTC,317,,,10.33965903779894,
2018-12-28 18:50:53 UTC,318,21.681,,,
2018-12-28 18:51:18 UTC,319,21.667,,,
2018-12-28 18:51:43 UTC,320,,48.435,,
2018-12-28 18:52:08 UTC,321,,48.444,,
2018-12-28 18:55:05 UTC,322,,,,1
2018-12-28 18:55:29 UTC,323,,,10.29860718191312,
2018-12-28 18:57:13 UTC,324,21.638,,,
2018-12-28 18:57:38 UTC,325,,48.511,,
2018-12-28 18:58:03 UTC,326,,48.554,,
2018-12-28 19:00:05 UTC,327,,,,1
2018-12-28 19:00:29 UTC,328,,,10.3060891017001,
2018-12-28 19:03:08 UTC,329,21.611,,,
2018-12-28 19:03:33 UTC,330,,48.669,,
2018-12-28 19:05:10 UTC,331,,,,1
2018-12-28 19:05:28 UTC,332,,,10.31686445640721,
2018-12-28 19:08:38 UTC,333,21.582,,,
2018-12-28 19:09:03 UTC,334,,48.635,,
2018-12-28 19:10:04 UTC,335,,,,1
2018-12-28 19:10:30 UTC,336,,,10.27979186737579,
2018-12-28 19:14:09 UTC,337,21.539,,,
2018-12-28 19:14:34 UTC,338,,48.708,,
2018-12-28 19:15:05 UTC,339,,,,1
2018-12-28 19:15:28 UTC,340,,,10.26288942827,
2018-12-28 19:18:48 UTC,341,,,10.26288942827,
2018-12-28 19:19:39 UTC,342,21.513,,,
2018-12-28 19:20:04 UTC,343,,49.108,,
2018-12-28 19:20:29 UTC,344,,,10.36184443874894,
2018-12-28 19:25:05 UTC,345,,,,1
2018-12-28 19:25:28 UTC,346,,,10.36184443874894,
2018-12-28 19:26:00 UTC,347,21.497,,,
2018-12-28 19:26:25 UTC,348,,49.633,,
2018-12-28 19:30:07 UTC,349,,,,1
2018-12-28 19:30:29 UTC,350,,,10.50697440278175,
2018-12-28 19:31:30 UTC,351,21.483,,,
2018-12-28 19:31:55 UTC,352,,49.720,,
2018-12-28 19:35:04 UTC,353,,,,1
2018-12-28 19:35:28 UTC,354,,,10.52044788356266,
2018-12-28 19:37:00 UTC,355,21.513,,,
2018-12-28 19:37:25 UTC,356,21.483,,,
2018-12-28 19:37:50 UTC,357,,49.802,,
2018-12-28 19:38:15 UTC,358,,49.740,,
2018-12-28 19:40:05 UTC,359,,,,1
2018-12-28 19:40:30 UTC,360,,,10.52649647664695,
2018-12-28 19:43:20 UTC,361,21.513,,,
2018-12-28 19:43:45 UTC,362,21.513,,,
2018-12-28 19:44:10 UTC,363,,49.647,,
2018-12-28 19:44:35 UTC,364,,49.729,,
2018-12-28 19:45:05 UTC,365,,,,1
2018-12-28 19:45:28 UTC,366,,,10.55073957733694,
2018-12-28 19:49:40 UTC,367,21.526,,,
2018-12-28 19:50:05 UTC,368,,50.811,,
2018-12-28 19:50:29 UTC,369,,,10.88692582575526,
2018-12-28 19:55:06 UTC,370,,,,1
2018-12-28 19:55:28 UTC,371,,,10.88692582575526,
2018-12-28 19:56:00 UTC,372,21.750,,,
2018-12-28 19:56:25 UTC,373,,55.048,,
2018-12-28 20:00:05 UTC,374,,,,1
2018-12-28 20:00:29 UTC,375,,,12.309063673102,
2018-12-28 20:01:30 UTC,376,21.894,,,
2018-12-28 20:01:55 UTC,377,,58.807,,
2018-12-28 20:05:10 UTC,378,,,,0
2018-12-28 20:05:28 UTC,379,,,13.45551469193149,
2018-12-28 20:07:00 UTC,380,22.119,,,
2018-12-28 20:07:25 UTC,381,,58.758,,
2018-12-28 20:10:05 UTC,382,,,,0
2018-12-28 20:10:30 UTC,383,,,13.65357982010789,
2018-12-28 20:12:31 UTC,384,22.372,,,
2018-12-28 20:12:56 UTC,385,,59.184,,
2018-12-28 20:15:04 UTC,386,,,,0
2018-12-28 20:15:28 UTC,387,,,14.00229743011168,
2018-12-28 20:18:01 UTC,388,22.655,,,
2018-12-28 20:18:26 UTC,389,22.741,,,
2018-12-28 20:18:50 UTC,390,,60.322,,
2018-12-28 20:20:05 UTC,391,,,,0
2018-12-28 20:20:29 UTC,392,,,14.64388813947243,
2018-12-28 20:23:56 UTC,393,23.021,,,
2018-12-28 20:24:21 UTC,394,,59.431,,
2018-12-28 20:25:06 UTC,395,,,,0
2018-12-28 20:25:28 UTC,396,,,14.67571773869262,
2018-12-28 20:29:26 UTC,397,22.995,,,
2018-12-28 20:29:51 UTC,398,,58.978,,
2018-12-28 20:30:06 UTC,399,,,,0
2018-12-28 20:30:29 UTC,400,,,14.53252775036721,
2018-12-28 20:31:06 UTC,401,,58.853,,
2018-12-28 20:35:04 UTC,402,,,,0
2018-12-28 20:35:28 UTC,403,,,14.49960703681872,
2018-12-28 20:36:12 UTC,404,23.136,,,
2018-12-28 20:36:37 UTC,405,,58.431,,
2018-12-28 20:40:05 UTC,406,,,,0
2018-12-28 20:40:29 UTC,407,,,14.52004752445876,
2018-12-28 20:41:42 UTC,408,23.136,,,
2018-12-28 20:42:08 UTC,409,,57.925,,
2018-12-28 20:45:05 UTC,410,,,,0
2018-12-28 20:45:28 UTC,411,,,14.3851607401809,
2018-12-28 20:47:13 UTC,412,23.109,,,
2018-12-28 20:47:38 UTC,413,23.064,,,
2018-12-28 20:48:03 UTC,414,,57.499,,
2018-12-28 20:50:04 UTC,415,,,,0
2018-12-28 20:50:30 UTC,416,,,14.20350132940943,
2018-12-28 20:53:08 UTC,417,23.109,,,
2018-12-28 20:53:33 UTC,418,,56.907,,
2018-12-28 20:55:05 UTC,419,,,,0
2018-12-28 20:55:28 UTC,420,,,14.08541388062788,
2018-12-28 20:58:38 UTC,421,23.109,,,
2018-12-28 20:59:03 UTC,422,,56.431,,
2018-12-28 21:00:06 UTC,423,,,,0
2018-12-28 21:00:30 UTC,424,,,13.95558160592357,
2018-12-28 21:04:08 UTC,425,23.123,,,
2018-12-28 21:04:33 UTC,426,,55.814,,
2018-12-28 21:05:11 UTC,427,,,,0
2018-12-28 21:05:29 UTC,428,,,13.79888672186562,
2018-12-28 21:09:39 UTC,429,23.077,,,
2018-12-28 21:10:03 UTC,430,,55.105,,
2018-12-28 21:10:29 UTC,431,,,13.55900059250243,
2018-12-28 21:15:09 UTC,432,23.123,,,
2018-12-28 21:15:29 UTC,433,,,13.60177415598784,
2018-12-28 21:15:58 UTC,434,,54.624,,
2018-12-28 21:16:23 UTC,435,,54.453,,
2018-12-28 21:20:05 UTC,436,,,,0
2018-12-28 21:20:29 UTC,437,,,13.41852826186101,
2018-12-28 21:21:29 UTC,438,23.165,,,
2018-12-28 21:21:54 UTC,439,23.165,,,
2018-12-28 21:22:19 UTC,440,,53.887,,
2018-12-28 21:25:04 UTC,441,,,,0
2018-12-28 21:25:29 UTC,442,,,13.29682930450453,
2018-12-28 21:27:24 UTC,443,23.165,,,
2018-12-28 21:27:49 UTC,444,,53.501,,
2018-12-28 21:28:14 UTC,445,,53.443,,
2018-12-28 21:28:39 UTC,446,,53.429,,
2018-12-28 21:30:04 UTC,447,,,,0
2018-12-28 21:30:29 UTC,448,,,13.16570407454808,
2018-12-28 21:33:44 UTC,449,23.152,,,
2018-12-28 21:34:09 UTC,450,,53.107,,
2018-12-28 21:35:05 UTC,451,,,,0
2018-12-28 21:35:28 UTC,452,,,13.06088723155917,
2018-12-28 21:39:14 UTC,453,23.136,,,
2018-12-28 21:39:39 UTC,454,,52.869,,
2018-12-28 21:40:06 UTC,455,,,,0
2018-12-28 21:40:29 UTC,456,,,12.97719270189727,
2018-12-28 21:44:44 UTC,457,23.136,,,
2018-12-28 21:45:07 UTC,458,,,12.97719270189727,
2018-12-28 21:45:29 UTC,459,,,12.97719270189727,
2018-12-28 21:45:59 UTC,460,,52.462,,
2018-12-28 21:50:05 UTC,461,,,,0
2018-12-28 21:50:30 UTC,462,,,12.85876251700856,
2018-12-28 21:51:04 UTC,463,23.093,,,
2018-12-28 21:51:29 UTC,464,,52.404,,
2018-12-28 21:55:07 UTC,465,,,,0
2018-12-28 21:55:28 UTC,466,,,12.80207559561101,
2018-12-28 21:56:34 UTC,467,23.035,,,
2018-12-28 21:56:59 UTC,468,,52.244,,
2018-12-28 22:00:06 UTC,469,,,,0
2018-12-28 22:00:30 UTC,470,,,12.70167600198379,
2018-12-28 22:02:05 UTC,471,23.035,,,
2018-12-28 22:02:28 UTC,472,23.064,,,
2018-12-28 22:02:53 UTC,473,,52.038,,
2018-12-28 22:05:10 UTC,474,,,,0
2018-12-28 22:05:28 UTC,475,,,12.66802928025714,
2018-12-28 22:07:58 UTC,476,22.952,,,
2018-12-28 22:08:23 UTC,477,,52.197,,
2018-12-28 22:10:05 UTC,478,,,,0
2018-12-28 22:10:29 UTC,479,,,12.6112255479162,
2018-12-28 22:13:28 UTC,480,22.965,,,
2018-12-28 22:13:53 UTC,481,,51.974,,
2018-12-28 22:14:18 UTC,482,,51.983,,
2018-12-28 22:15:05 UTC,483,,,,0
2018-12-28 22:15:28 UTC,484,,,12.56043795035755,
2018-12-28 22:19:23 UTC,485,22.922,,,
2018-12-28 22:19:48 UTC,486,,51.873,,
2018-12-28 22:20:07 UTC,487,,,,0
2018-12-28 22:20:30 UTC,488,,,12.48837214532142,
2018-12-28 22:21:03 UTC,489,,51.777,,
2018-12-28 22:25:04 UTC,490,,,,0
2018-12-28 22:25:28 UTC,491,,,12.46008301099713,
2018-12-28 22:26:08 UTC,492,22.866,,,
2018-12-28 22:26:33 UTC,493,,52.192,,
2018-12-28 22:30:05 UTC,494,,,,0
2018-12-28 22:30:29 UTC,495,,,12.53030658593275,
2018-12-28 22:31:38 UTC,496,22.824,,,
2018-12-28 22:32:03 UTC,497,,51.766,,
2018-12-28 22:35:04 UTC,498,,,,0
2018-12-28 22:35:28 UTC,499,,,12.36638504005926,
2018-12-28 22:37:08 UTC,500,22.840,,,
2018-12-28 22:37:33 UTC,501,,52.361,,
2018-12-28 22:40:05 UTC,502,,,,0
2018-12-28 22:40:29 UTC,503,,,12.55567755380468,
2018-12-28 22:42:38 UTC,504,22.797,,,
2018-12-28 22:43:03 UTC,505,22.768,,,
2018-12-28 22:43:28 UTC,506,,52.320,,
2018-12-28 22:45:06 UTC,507,,,,0
2018-12-28 22:45:28 UTC,508,,,12.47716619711686,
2018-12-28 22:48:33 UTC,509,22.741,,,
2018-12-28 22:48:58 UTC,510,,52.512,,
2018-12-28 22:50:05 UTC,511,,,,0
2018-12-28 22:50:30 UTC,512,,,12.50815577131115,
2018-12-28 22:54:03 UTC,513,22.698,,,
2018-12-28 22:54:28 UTC,514,22.728,,,
2018-12-28 22:54:53 UTC,515,,52.308,,
2018-12-28 22:55:18 UTC,516,,52.262,,
2018-12-28 23:00:06 UTC,517,,,,0
2018-12-28 23:00:23 UTC,518,22.698,,,
2018-12-28 23:00:49 UTC,519,,52.125,,
2018-12-28 23:05:08 UTC,520,,,,0
2018-12-28 23:05:28 UTC,521,,,12.35548699102178,
2018-12-28 23:05:55 UTC,522,22.728,,,
2018-12-28 23:06:20 UTC,523,,52.102,,
2018-12-28 23:10:05 UTC,524,,,,0
